낚시터명,낚시터유형,소재지도로명주소,WGS84위도,WGS84경도,주요어종,이용요금,데이터기준일자
나룻가낚시터,바다,"전라남도 신안군 압해읍 복룡로 688-4, 나룻가횟집",34.5422629,126.2031165,"돔, 농어, 우럭 등","(평일)30,000원",2024-07-17
신안낚시터,바다,"전라남도 신안군 압해읍 복룡로 688-6, 복룡횟집",34.90533275,126.3383433,"돔, 장어 등","(평일)30,000원",2024-07-17
해성낚시터,바다,전라남도 신안군 압해읍 천사로 15,34.483486,126.20913,"돔, 장어 등","(평일)30,000원",2024-07-17
복용낚시터,바다,전라남도 신안군 압해읍 복룡로 688-8,34.5441767,126.1947507,"돔, 장어 등","(평일)30,000원",2024-07-17
가우도 복합낚시공원,바다,전라남도 강진군 도암면 가우도길 2-13,34.56687,126.72371,"강성돔, 농어, 붕장어 등","성인10,000원+청소년5,000원",2023-07-20
서중어촌체험마을,바다,전라남도 강진군 마량면 까막섬로 75-7,34.47072,126.82785,"장어, 돔 등","1박2일 숙박 기준 : (8명)250,000원+(6명)180,000원+(4명)150,000원+(2명)100,000원",2023-07-20
홀통낚시터,바다,전라남도 무안군 현경면 홀통길 198-1,35.0616396163,126.3321694341,감성돔,"(인당)40,000원",2024-07-29
늘푸른해상낚시펜션,바다,전라남도 무안군 운남면 운해로 1,34.9153538678,126.3384728811,감성돔,"(인당)40,000원",2024-07-29
늘푸른낚시,바다,전라남도 무안군 운남면 운해로 1,34.9153538678,126.3384728811,감성돔,"(인당)25,000원",2024-07-29
여울섬낚시체험장,바다,전라남도 무안군 망운면 탄도리 지선,34.9953463,126.335624,감성돔,"(인당)10,000원",2024-07-29
정남진 해양낚시공원,바다,전라남도 장흥군 회진면 해양낚시길 135,34.4706335,126.9740566,감성돔+광어,"성인 20,000원, 청소년 10,000원",2024-07-31
가란콜낚시,바다,전라남도 신안군 압해읍 장감길 220,34.52284,126.224746,"돔, 장어 등","(평일)30,000원",2024-07-17
해남바다낚시터2호,바다,"전라남도 해남군 화원면 영호길 42-17, 대광낚시",,,갈치,,2024-08-02
해남화원낚시터2,바다,전라남도 해남군 화원면 영호길 78,,,갈치,,2024-08-02
동화낚시터,기타,대구광역시 북구 동변로 24길 106(동변동),35.92974,128.603563,잉어+향어,"10,000원",2024-01-05
무태낚시터,기타,,35.935017,128.608374,잉어+향어,"10,000원",2024-01-05
낭만물고기실내바다낚시터,기타,대구광역시 북구 칠곡중앙대로 447(관음동),35.5609,128.3255,참돔+우럭,"25,000원",2024-01-05
눈큰실내낚시터,기타,대구광역시 북구 태전로 57 (태전동),35.9254,128.54324,붕어 등,"10,000원",2024-01-05
비들지낚시터,저수지,대구광역시 군위군 군위읍 구지길 95,36.2031,128.5722,"붕어, 잉어","25,000원",2024-01-01
대평낚시터,저수지,대구광역시 달성군 하빈면 하빈로 832,35.93002896,128.4692446,붕어+잉어,15000,2023-07-10
도채낚시터,저수지,대구광역시 달성군 하빈면 묘동3길 122-60,35.91802965,128.4215712,붕어+잉어,15000,2023-07-10
가곡낚시터,저수지,,35.92279194,128.4667287,붕어+잉어,15000,2023-07-10
옥포낚시터,기타,,35.747717,128.4924402,붕어+잉어,15000,2023-07-10
문양낚시터,저수지,대구광역시 달성군 다사읍 장귀미길 123,35.74332817,128.4354565,붕어+잉어,15000,2023-07-10
약산낚시터,저수지,대구광역시 달성군 논공읍 약산덧재길 159,35.74332817,128.4354565,붕어+잉어,15000,2023-07-10
송정유료낚시터,바다,울산광역시 서생면 해맞이로 1331,35.3669,129.35324,"우럭, 노래미, 농어 등","가두리낚시 : 66,000원 생활 낚시 : 33,000원 체험낚시 : 10,000원 *초등학생 50%할인",2022-11-17
